id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
22941,USDC,Ethereum,Aave,0.00433931,0.0,0.00433931,1372400723,https://api.coindix.com/vault/22941/redirect,False,False,A,no
272164,TUSD-USDC,Ethereum,Uniswap,0.0042177,0.0,0.0042177,10074906,https://api.coindix.com/vault/272164/redirect,False,False,B,no
39240,USDT,Fantom,Yearn,0.0042,0.0,0.0042,122854,https://api.coindix.com/vault/39240/redirect,False,False,C,no
22954,USDC,Polygon,Aave,0.00388556,0.0,0.00388556,102139155,https://api.coindix.com/vault/22954/redirect,False,False,A,no
14227,USDC.E,Avalanche,Aave,0.00385205,0.0,0.00385205,26971645,https://api.coindix.com/vault/14227/redirect,False,False,B,no
272114,FRAX-USDC,Ethereum,Uniswap,0.0037234,0.0,0.0037234,117172785,https://api.coindix.com/vault/272114/redirect,False,False,A,no
34990,TUSD,BNB Chain,Alpaca,0.00157911,0.00209779,0.0036769,8816926,https://api.coindix.com/vault/34990/redirect,False,False,C,yes
63466,USDC-USDT,BNB Chain,MDEX,7.13e-06,0.00366228,0.00366941,9897068,https://api.coindix.com/vault/63466/redirect,False,False,C,yes
12205,DAI-USDC,Ethereum,Sushi,0.00356821,0.0,0.00356821,53823,https://api.coindix.com/vault/12205/redirect,False,False,C,no
22943,GUSD,Ethereum,Aave,0.00339478,0.0,0.00339478,8721794,https://api.coindix.com/vault/22943/redirect,False,False,C,no
56599,FRAX-BUSD,BNB Chain,ApeSwap,0.00331746,0.0,0.00331746,180439,https://api.coindix.com/vault/56599/redirect,False,False,C,no
14476,USDT-USDC,BNB Chain,Autofarm,0.00329721,0.0,0.00329721,47635,https://api.coindix.com/vault/14476/redirect,False,False,C,no
14225,DAI.E,Avalanche,Aave,0.00310532,0.0,0.00310532,17300636,https://api.coindix.com/vault/14225/redirect,False,False,B,no
272132,BUSD-USDC,Ethereum,Uniswap,0.0030937,0.0,0.0030937,23912100,https://api.coindix.com/vault/272132/redirect,False,False,B,no
272130,DAI-FRAX,Ethereum,Uniswap,0.0029829,0.0,0.0029829,25493439,https://api.coindix.com/vault/272130/redirect,False,False,B,no
35102,MIM-USDC.e,Avalanche,Sushi,0.00292904,0.0,0.00292904,153789,https://api.coindix.com/vault/35102/redirect,False,False,C,no
22930,BUSD,Ethereum,Aave,0.00275272,0.0,0.00275272,26794831,https://api.coindix.com/vault/22930/redirect,False,False,B,no
272188,FRAX-USDC,Optimism,Uniswap,0.0026039,0.0,0.0026039,1062769,https://api.coindix.com/vault/272188/redirect,False,False,C,no
103308,DAI,BNB Chain,Valas,0.0003,0.0023,0.0026,4220000,https://api.coindix.com/vault/103308/redirect,False,False,C,yes
273122,USDC-USDT,Optimism,Uniswap,0.0025237,0.0,0.0025237,180032,https://api.coindix.com/vault/273122/redirect,False,False,C,no
17022,USDC-USDT,Polygon,Beefy,0.00236722,0.0,0.00236722,121030,https://api.coindix.com/vault/17022/redirect,False,False,C,no
17259,FRAX,Ethereum,Yearn,0.0021,0.0,0.0021,1410921,https://api.coindix.com/vault/17259/redirect,False,False,C,no
272184,DAI-USDT,Ethereum,Uniswap,0.0020706,0.0,0.0020706,6823048,https://api.coindix.com/vault/272184/redirect,False,False,C,no
103312,BUSD,BNB Chain,Valas,0.0003,0.0016,0.0019,7870000,https://api.coindix.com/vault/103312/redirect,False,False,C,yes
103309,USDT,BNB Chain,Valas,0.0003,0.0014,0.0017,7370000,https://api.coindix.com/vault/103309/redirect,False,False,C,yes
36483,USDC,Fantom,Tarot,0.0016,0.0,0.0016,307371,https://api.coindix.com/vault/36483/redirect,False,False,C,no
103307,USDC,BNB Chain,Valas,0.0001,0.0014,0.0015,8900000,https://api.coindix.com/vault/103307/redirect,False,False,C,yes
44806,USDT-USDC,Solana,Saber,0.00146,0.0,0.00146,6413856,https://api.coindix.com/vault/44806/redirect,False,False,C,no
